Page,Key,English,Arabic (Current),Arabic (Corrected),Notes
_common,and,and,و,,
_common,available,Available,متاح,,
_common,back,Back,رجوع,,
_common,bed2,2 Bedroom,غرفتا نوم,,
_common,bed3,3 Bedroom,٣ غرف نوم,,
_common,bed4,4 Bedroom,٤ غرف نوم,,
_common,br,BR,غرف,,
_common,cancel,Cancel,إلغاء,,
_common,clear,Clear,مسح,,
_common,close,Close,إغلاق,,
_common,compare,Compare,مقارنة,,
_common,confirmPassword,Confirm Password,تأكيد كلمة المرور,,
_common,contactSales,Contact Sales,تواصل مع المبيعات,,
_common,copy,Copy,نسخ,,
_common,ctaPrimary,See Live Demo,شاهد العرض المباشر,,
_common,ctaSecondary,Talk to Sales,تحدث إلى المبيعات,,
_common,dashboard,Dashboard,لوحة التحكم,,
_common,delete,Delete,حذف,,
_common,developers,Developers,المطورون,,
_common,download,Download,تحميل,,
_common,edit,Edit,تعديل,,
_common,email,Email Address,البريد الإلكتروني,,
_common,enterprise,Enterprise,المؤسسات,,
_common,filter,Filter,تصفية,,
_common,floor,Floor,الطابق,,
_common,footAccount,Account,الحساب,,
_common,footContact,Contact Sales,تواصل مع المبيعات,,
_common,footCopy,© 2026 DynamicNFC Software Inc. All Rights Reserved.,© ٢٠٢٦ DynamicNFC Software Inc. جميع الحقوق محفوظة.,,
_common,footCreateCard,Create Card,إنشاء بطاقة,,
_common,footDev,Developers,المطورون,,
_common,footEnterprise,Enterprise,المؤسسات,,
_common,footLogin,Log in,تسجيل الدخول,,
_common,footNfcCards,NFC Business Cards,بطاقات NFC,,
_common,footProduct,Product,المنتج,,
_common,footRe,Real Estate,العقارات,,
_common,footSignup,Sign up,إنشاء حساب,,
_common,forgotPassword,Forgot password?,نسيت كلمة المرور؟,,
_common,getStarted,Get Started,ابدأ الآن,,
_common,home,Home,الرئيسية,,
_common,indoorSF,Indoor,داخلي,,
_common,learnMore,Learn More,اعرف المزيد,,
_common,loading,Loading...,جارٍ التحميل...,,
_common,login,Login,تسجيل الدخول,,
_common,next,Next,التالي,,
_common,nfcCards,NFC Cards,بطاقات NFC,,
_common,noResults,No results found,لم يتم العثور على نتائج,,
_common,or,or,أو,,
_common,outdoorSF,Outdoor,خارجي,,
_common,password,Password,كلمة المرور,,
_common,ph,Penthouse,بنتهاوس,,
_common,price,Price,السعر,,
_common,realEstate,Real Estate,العقارات,,
_common,reserved,Reserved,محجوز,,
_common,save,Save,حفظ,,
_common,search,Search,بحث,,
_common,selected,Selected,مختار,,
_common,sf,sq ft,قدم²,,
_common,share,Share,مشاركة,,
_common,signIn,Sign In,تسجيل الدخول,,
_common,signOut,Sign Out,تسجيل الخروج,,
_common,signUp,Sign Up,إنشاء حساب,,
_common,sold,Sold,مباع,,
_common,status,Status,الحالة,,
_common,submit,Submit,إرسال,,
_common,totalSF,Total,الإجمالي,,
_common,type,Type,النوع,,
_common,view,View,الإطلالة,,
_common,viewDemo,View Demo,عرض تجريبي,,
contactSales,budgetOpts,"Under $100,000 | $100,000 – $250,000 | $250,000 – $500,000 | $500,000+ | Need guidance","أقل من 100,000 دولار | 100,000 – 250,000 دولار | 250,000 – 500,000 دولار | أكثر من 500,000 دولار | أحتاج إلى استشارة",,
contactSales,budgetPlaceholder,Select range,اختر النطاق,,
contactSales,challengeOpts,"Anonymous website traffic — can't identify buyers | Too slow from interest to first contact | Generic outreach — one pitch for all buyers | Low conversion from leads to booked viewings | Sales team lacks buyer context on calls | Need premium positioning for luxury listings | Engaging international / remote buyers | No portfolio-level buyer intelligence | Repeated setup costs per project launch | Other","زيارات مجهولة المصدر للموقع — لا يمكن تحديد هوية المشترين | بطء في التواصل من لحظة إبداء الاهتمام حتى أول تواصل فعلي | تواصل تسويقي عام — عرض واحد لجميع المشترين | معدّل تحويل منخفض من العملاء المحتملين إلى حجوزات المعاينة | فريق المبيعات يفتقر إلى معلومات كافية عن المشتري أثناء المكالمات | الحاجة إلى تموضع متميّز للعقارات الفاخرة | صعوبة استقطاب المشترين الدوليين أو عن بُعد | غياب الذكاء التحليلي على مستوى المحفظة الاستثمارية | تكاليف إعداد متكرّرة مع كل إطلاق مشروع جديد | أخرى",,
contactSales,challengePlaceholder,Select challenge,اختر التحدي,,
contactSales,formNote,We respond within 24 hours. Your information is kept strictly confidential.,نردّ خلال 24 ساعة. جميع معلوماتك تُعامل بسرية تامة.,,
